time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-05-16T06:31:36.891Z,-3.8229,151.5088,10,5.4,mww,64,64,4.499,0.67,us,us6000mywx,2024-05-16T08:36:01.100Z,"83 km WNW of Rabaul, Papua New Guinea",earthquake,10,1.866,0.086,13,reviewed,us,us
2024-05-16T05:13:54.185Z,-14.3528,-76.1516,35,5.2,mww,71,137,2.445,0.81,us,us6000mywl,2024-05-16T05:37:58.683Z,"51 km WSW of Santiago, Peru",earthquake,9.35,1.92,0.075,17,reviewed,us,us
2024-05-16T03:48:01.028Z,-7.0832,148.4023,10,5.2,mww,78,46,2.614,0.96,us,us6000mywa,2024-05-16T04:05:20.040Z,"84 km SE of Finschhafen, Papua New Guinea",earthquake,7.96,1.856,0.08,15,reviewed,us,us
2024-05-15T22:14:20.227Z,-26.4219,-11.4418,10,5.3,mb,75,50,26.221,0.8,us,us6000myub,2024-05-15T22:30:03.040Z,southern Mid-Atlantic Ridge,earthquake,11.78,1.855,0.05,135,reviewed,us,us
2024-05-15T20:38:37.780Z,-36.7957,78.5274,10,5.3,mww,76,61,29.767,0.92,us,us6000mytv,2024-05-16T11:34:57.792Z,Mid-Indian Ridge,earthquake,12.13,1.828,0.103,9,reviewed,us,us
2024-05-15T06:46:01.015Z,-18.0276,-174.1443,138.285,5.3,mb,44,71,4.134,1.21,us,us6000mypk,2024-05-15T17:43:58.510Z,"71 km NNW of Neiafu, Tonga",earthquake,7.69,6.987,0.074,62,reviewed,us,us
2024-05-15T01:41:04.298Z,-28.1375,-177.2863,70.942,5.1,mb,75,67,1.24,0.82,us,us6000myn1,2024-05-16T02:29:32.040Z,Kermadec Islands region,earthquake,7.46,5.048,0.036,245,reviewed,us,us
2024-05-15T00:30:11.410Z,19.2698,-67.4235,7,5.6,ml,32,191,0.8609,0.43,pr,pr2024136000,2024-05-16T00:40:25.438Z,"92 km NNW of San Antonio, Puerto Rico",earthquake,1.64,2.009,0.17,18,reviewed,pr,pr
2024-05-14T17:15:47.629Z,-5.6353,150.1746,109.876,5.6,mww,135,40,4.537,0.92,us,us6000myk7,2024-05-16T03:59:48.462Z,"10 km SSE of Kimbe, Papua New Guinea",earthquake,3.97,4.829,0.057,30,reviewed,us,us
2024-05-14T15:43:51.910Z,-54.8345,-129.567,10,5.1,mb,159,34,29.73,0.84,us,us6000myjs,2024-05-14T16:21:11.040Z,Pacific-Antarctic Ridge,earthquake,11.17,1.742,0.05,127,reviewed,us,us
2024-05-14T15:07:59.918Z,-54.9054,-129.1126,10,5.4,mb,79,58,31.653,0.78,us,us6000myih,2024-05-15T15:12:52.292Z,Pacific-Antarctic Ridge,earthquake,12.16,1.859,0.053,123,reviewed,us,us
2024-05-14T08:11:11.846Z,-8.4055,115.9719,28.295,5.1,mb,53,45,1.801,1.53,us,us6000mygm,2024-05-15T04:28:29.173Z,"9 km SW of Gili Trawangan, Indonesia",earthquake,6.46,5.118,0.083,48,reviewed,us,us
2024-05-13T12:32:35.888Z,-5.775,148.6161,173.22,5.2,mww,67,83,3.884,1.12,us,us6000my9b,2024-05-13T17:21:02.607Z,"113 km WNW of Kandrian, Papua New Guinea",earthquake,8.57,6.246,0.071,19,reviewed,us,us
2024-05-13T09:18:49.828Z,-35.4081,-73.2436,10,5.2,mww,77,104,1.338,1.12,us,us6000my8g,2024-05-13T09:56:16.040Z,"76 km W of Constitución, Chile",earthquake,5.46,1.738,0.059,28,reviewed,us,us
2024-05-13T02:47:00.110Z,-4.0317,-103.7904,10,5.3,mww,67,146,13.897,1.04,us,us6000my7f,2024-05-14T02:14:51.040Z,central East Pacific Rise,earthquake,13.46,1.875,0.065,23,reviewed,us,us
2024-05-13T00:28:13.501Z,0.9265,123.852,271.971,5.2,mww,92,46,2.234,1.09,us,us6000my6q,2024-05-14T12:48:15.040Z,"83 km NW of Modisi, Indonesia",earthquake,7.2,6.655,0.11,8,reviewed,us,us
2024-05-13T00:24:49.770Z,-11.5838,165.2029,10,5.2,mww,46,100,5.59,0.73,us,us6000my6p,2024-05-13T00:39:58.040Z,"115 km SW of Lata, Solomon Islands",earthquake,10,1.877,0.103,9,reviewed,us,us
2024-05-12T18:43:19.722Z,-31.5141,-178.4506,19.093,5.9,mww,77,48,2.291,0.74,us,us6000my4x,2024-05-13T18:47:03.917Z,Kermadec Islands region,earthquake,8.55,4.171,0.047,43,reviewed,us,us
2024-05-12T11:39:14.137Z,14.4518,-92.363,75.426,6.4,mww,148,40,0.788,1.3,us,us6000my20,2024-05-14T07:31:58.254Z,"17 km WSW of Brisas Barra de Suchiate, Mexico",earthquake,6.98,4.585,0.031,103,reviewed,us,us
2024-05-12T03:26:19.677Z,-30.0845,-177.9786,43.987,5.4,mb,43,72,0.821,0.76,us,us6000mxzs,2024-05-13T03:30:27.586Z,"Kermadec Islands, New Zealand",earthquake,10.66,6.996,0.043,187,reviewed,us,us
2024-05-11T18:27:04.320Z,-15.1065,168.0938,10,5.1,mww,181,29,6.516,0.61,us,us6000mxys,2024-05-14T15:13:15.040Z,"109 km ENE of Luganville, Vanuatu",earthquake,7.65,1.729,0.06,27,reviewed,us,us
2024-05-11T13:21:52.526Z,38.85,48.6873,61.508,5.1,mb,61,66,0.637,0.74,us,us6000mxyc,2024-05-11T15:28:11.843Z,"9 km SSW of Boradigah, Azerbaijan",earthquake,6.14,6.267,0.06,88,reviewed,us,us
2024-05-11T11:49:58.197Z,-19.2842,-176.1882,10.006,5,mb,14,74,2.091,0.9,us,us6000mxy4,2024-05-11T12:09:17.040Z,"201 km WNW of Pangai, Tonga",earthquake,8.77,5.404,0.2,8,reviewed,us,us
2024-05-11T00:47:15.705Z,41.7122,144.3164,10,5,mb,87,130,0.917,0.49,us,us6000mxw5,2024-05-13T22:10:16.040Z,"105 km SE of Hiroo, Japan",earthquake,3.1,1.862,0.046,149,reviewed,us,us
2024-05-10T15:20:47.443Z,-3.5673,101.5337,62.457,5.1,mb,48,102,1.623,0.72,us,us6000mxrs,2024-05-10T15:40:11.040Z,"85 km WNW of Bengkulu, Indonesia",earthquake,7.99,3.697,0.092,38,reviewed,us,us
2024-05-10T11:48:41.412Z,-5.2267,151.8945,37.158,5.6,mww,81,51,6.267,1.16,us,us6000mxpy,2024-05-11T11:52:25.794Z,"106 km SSW of Kokopo, Papua New Guinea",earthquake,9.53,5.358,0.066,22,reviewed,us,us
2024-05-10T07:45:18.233Z,24.191,121.8995,10.788,5.8,mww,92,27,0.674,0.72,us,us6000mxpi,2024-05-11T07:52:11.073Z,"38 km NE of Hualien City, Taiwan",earthquake,4.14,3.755,0.054,33,reviewed,us,us
2024-05-10T01:35:38.366Z,23.6561,121.678,10,5.1,mb,53,95,0.437,0.8,us,us6000mxn1,2024-05-10T08:05:27.420Z,"36 km SSE of Hualien City, Taiwan",earthquake,3.92,1.866,0.045,162,reviewed,us,us
